timestamp,datetime,symbol,timeframe,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,atr_14,obv
1717747200000,2024-06-07 08:00:00,ETH/USDT,4h,3816.31000000,3839.98000000,3801.11000000,3835.00000000,24999.76400000,3820.57250000,3796.06180000,3429.57860000,3824.09327736,3816.81677315,54.52059116,7.27650422,9.76276746,-2.48626325,3878.96576532,3820.57250000,3762.17923468,41.32485225,-249982.93470000
1717761600000,2024-06-07 12:00:00,ETH/USDT,4h,3834.99000000,3841.39000000,3771.39000000,3800.73000000,77115.54730000,3821.87300000,3797.67000000,3433.05375000,3820.49892700,3815.62516032,46.78132014,4.87376668,8.78496731,-3.91120063,3877.20168012,3821.87300000,3766.54431988,43.37307709,-327098.48200000
1717776000000,2024-06-07 16:00:00,ETH/USDT,4h,3800.73000000,3807.67000000,3600.00000000,3687.37000000,179164.12980000,3818.00900000,3796.67740000,3435.80010000,3800.01755361,3806.12477807,31.07003625,-6.10722446,5.80652895,-11.91375341,3895.24149262,3818.00900000,3740.77650738,55.10857158,-506262.61180000
1717790400000,2024-06-07 20:00:00,ETH/USDT,4h,3687.37000000,3700.00000000,3670.43000000,3678.32000000,42191.67780000,3811.39350000,3794.72140000,3438.39075000,3781.29485306,3796.65775748,30.19808534,-15.36290442,1.57264228,-16.93554670,3909.78817451,3811.39350000,3712.99882549,53.28438790,-548454.28960000
1717804800000,2024-06-08 00:00:00,ETH/USDT,4h,3678.31000000,3692.30000000,3673.82000000,3690.00000000,22188.33430000,3805.87450000,3793.28120000,3441.12850000,3767.24949105,3788.75718285,32.81855168,-21.50769180,-3.04342454,-18.46426726,3917.60046591,3805.87450000,3694.14853409,50.79836019,-526265.95530000
1717819200000,2024-06-08 04:00:00,ETH/USDT,4h,3690.00000000,3709.50000000,3677.22000000,3708.98000000,16278.66680000,3800.81200000,3792.50260000,3443.99135000,3758.28495397,3782.84776190,36.96011863,-24.56280793,-7.34730122,-17.21550672,3920.20249620,3800.81200000,3681.42150380,49.47562018,-509987.28850000
1717833600000,2024-06-08 08:00:00,ETH/USDT,4h,3708.98000000,3709.39000000,3678.53000000,3683.13000000,38253.45130000,3794.44600000,3790.96100000,3446.73395000,3746.72265336,3775.46126102,33.89530615,-28.73860766,-11.62556250,-17.11304516,3924.22742847,3794.44600000,3664.66457153,48.14593302,-548240.73980000
1717848000000,2024-06-08 12:00:00,ETH/USDT,4h,3683.13000000,3697.47000000,3660.08000000,3688.13000000,30914.34980000,3788.37350000,3790.14140000,3449.27195000,3737.70839899,3768.99227872,35.01773681,-31.28387973,-15.55722595,-15.72665378,3925.88905887,3788.37350000,3650.85794113,47.37765209,-517326.39000000
1717862400000,2024-06-08 16:00:00,ETH/USDT,4h,3688.13000000,3694.50000000,3672.18000000,3682.61000000,19917.23790000,3782.28850000,3787.74120000,3451.93885000,3729.23172222,3762.59359141,34.32480725,-33.36186918,-19.11815459,-14.24371459,3927.02553469,3782.28850000,3637.55146531,45.58781980,-537243.62790000
1717876800000,2024-06-08 20:00:00,ETH/USDT,4h,3682.60000000,3684.46000000,3670.37000000,3681.57000000,12998.79930000,3775.68800000,3786.47720000,3454.90045000,3721.89914957,3756.59184389,34.18754602,-34.69269432,-22.23306254,-12.45963178,3926.04608746,3775.68800000,3625.32991254,43.33797553,-550242.42720000
1717891200000,2024-06-09 00:00:00,ETH/USDT,4h,3681.58000000,3684.66000000,3666.36000000,3674.22000000,18043.89840000,3765.57200000,3784.25260000,3457.92235000,3714.56389579,3750.49022583,33.17776864,-35.92633003,-24.97171604,-10.95461400,3914.64629847,3765.57200000,3616.49770153,41.54954871,-568286.32560000
1717905600000,2024-06-09 04:00:00,ETH/USDT,4h,3674.21000000,3692.00000000,3669.21000000,3685.99000000,16380.30840000,3756.57200000,3782.72660000,3461.03930000,3710.16791183,3745.71243132,36.41650725,-35.54451950,-27.08627673,-8.45824277,3901.99913111,3756.57200000,3611.14486889,40.20958094,-551906.01720000
1717920000000,2024-06-09 08:00:00,ETH/USDT,4h,3685.98000000,3693.87000000,3683.02000000,3693.50000000,11187.57190000,3748.16250000,3781.01700000,3464.26085000,3707.60361770,3741.84484382,38.46587141,-34.24122612,-28.51726661,-5.72395951,3887.63231163,3748.16250000,3608.69268837,38.11246802,-540718.44530000
